100 2000
0 1 4
0 2 9
0 45 9
0 26 6
0 45 1
0 83 3
0 9 1
0 2 8
0 29 2
0 51 8
0 70 5
0 97 5
0 12 9
0 51 9
0 96 8
0 12 7
0 32 3
0 15 7
0 1 5
0 93 9
0 64 9
0 51 8
0 28 5
0 49 7
0 67 3
0 16 4
0 47 1
0 97 4
0 36 1
0 21 2
0 91 1
0 14 4
0 61 4
0 49 4
0 47 3
0 23 9
0 15 8
1 3 8
1 4 8
1 6 8
1 12 4
1 23 5
1 29 9
1 43 7
1 74 2
1 10 9
1 5 5
1 99 6
1 88 9
1 78 7
1 80 4
1 21 1
1 8 2
1 33 5
1 22 2
1 82 2
1 27 2
1 37 4
1 78 3
1 28 3
1 8 8
1 23 7
1 90 1
1 72 5
1 85 1
1 57 4
1 4 2
1 41 1
1 32 6
1 96 8
1 94 7
1 20 2
1 62 2
1 28 3
1 49 5
1 13 2
1 25 4
1 93 7
1 21 8
1 55 9
1 78 4
1 15 3
1 13 7
1 34 3
1 70 9
1 35 6
1 87 5
1 13 9
1 8 8
2 14 5
2 16 6
2 37 4
2 63 8
2 11 8
2 21 7
2 75 6
2 78 2
2 73 6
2 46 1
2 65 7
2 59 4
2 79 1
2 17 9
2 79 8
2 69 8
2 11 3
2 97 7
2 37 2
2 42 7
2 9 8
2 55 3
2 68 8
2 66 1
2 5 7
2 78 5
2 29 1
2 46 4
2 66 5
2 38 8
2 57 7
2 53 7
2 17 8
2 77 3
2 56 8
2 33 8
2 77 3
2 77 7
2 99 5
2 21 8
3 5 7
3 18 3
3 49 9
3 46 9
3 65 6
3 89 4
3 87 5
3 32 5
3 25 8
3 30 1
3 72 2
3 39 9
3 35 9
3 79 7
3 38 3
3 91 8
3 69 7
3 76 3
3 25 7
3 70 4
3 58 9
3 59 9
3 45 4
3 16 2
3 72 4
3 67 9
3 43 3
3 62 1
3 94 7
3 63 1
4 15 8
4 24 1
4 77 5
4 63 3
4 51 7
4 80 5
4 99 9
4 84 9
4 53 8
4 73 9
4 89 4
4 79 2
4 87 6
4 81 4
4 40 3
4 96 9
4 36 7
4 11 9
4 11 8
4 46 3
4 52 3
4 6 1
4 44 4
4 70 7
4 9 9
4 22 1
4 28 1
4 69 1
4 99 4
4 63 7
4 78 8
4 20 8
4 79 5
5 7 1
5 28 1
5 28 9
5 10 5
5 18 1
5 74 4
5 34 5
5 39 6
5 7 9
5 44 6
5 13 5
5 42 5
5 96 9
5 59 3
5 31 5
5 26 7
5 31 8
5 98 2
5 51 5
5 18 5
5 48 4
5 39 1
5 14 4
5 34 8
5 61 7
5 5 8
5 81 2
5 26 3
5 10 5
5 42 9
5 32 2
5 42 6
5 95 5
5 29 9
5 52 8
6 8 4
6 98 7
6 53 3
6 25 2
6 77 1
6 65 8
6 86 4
6 32 8
6 47 1
6 71 1
6 57 2
6 63 6
6 62 4
6 42 4
6 79 7
6 89 4
6 9 7
6 11 5
6 16 8
6 23 1
6 52 4
7 13 2
7 34 6
7 44 7
7 59 3
7 83 5
7 92 8
7 26 3
7 24 6
7 24 8
7 64 3
7 25 7
7 37 1
7 98 5
7 39 3
7 64 3
7 34 4
7 39 9
7 49 9
