100 100
0 1 40
0 2 97
1 5 25
1 23 26
1 32 55
2 3 74
2 6 40
2 12 19
2 16 18
2 44 30
3 4 54
3 10 79
4 14 34
4 55 62
5 7 37
5 56 64
5 93 69
6 8 71
6 39 16
7 9 59
7 13 75
7 43 92
7 47 68
8 11 71
8 31 77
8 34 41
8 45 57
9 15 93
9 19 91
9 30 88
9 57 32
11 17 23
11 38 43
12 96 40
14 24 12
14 25 50
14 33 60
14 36 77
15 22 45
15 28 10
15 35 17
15 82 84
16 18 95
16 20 60
17 27 85
18 21 45
18 81 27
19 42 30
19 60 69
20 58 55
21 99 59
22 37 21
22 41 10
22 46 93
22 62 16
22 72 94
22 77 52
23 91 82
23 98 22
23 68 64
24 26 17
24 70 77
24 73 95
25 29 90
29 86 72
30 48 83
31 90 98
32 40 1
34 71 3
37 51 39
37 76 48
37 92 14
40 49 6
41 50 6
41 97 15
42 52 91
42 53 46
42 88 82
45 54 98
45 59 61
47 75 68
50 64 59
51 61 65
51 65 24
51 79 73
52 78 100
53 67 46
54 95 5
56 66 6
57 63 51
57 74 43
60 87 69
62 68 33
65 69 57
71 80 29
72 85 87
74 84 80
76 94 6
80 83 31
88 89 59
